lot,wafer,die_x,die_y,zone,temp_C,stress_V,tox_nm,Eox_MVcm,beta_shape,eta_scale_est_ref,time_to_failure_s
L1,W1,23,5,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,3681.957868193239
L1,W1,4,12,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2303.119405654566
L1,W1,11,5,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3141.3794042782984
L1,W1,5,1,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2874.694781813237
L1,W1,4,28,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3316.3533622753944
L1,W1,11,27,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,2079.2633571270294
L1,W1,27,27,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1332.6923515251444
L1,W1,28,26,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,2009.1630612189606
L1,W1,11,19,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,976.9079715396168
L1,W1,15,15,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,6415.048201604586
L1,W1,29,29,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1935.0613441056787
L1,W1,7,16,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,1417.3352868886836
L1,W1,28,19,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1704.7123356554252
L1,W1,3,6,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,1766.4010981922659
L1,W1,6,22,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,2226.978678089496
L1,W1,10,24,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2233.914727534548
L1,W1,1,20,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,1487.1386065538645
L1,W1,24,14,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2254.4871585542373
L1,W1,25,5,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,6286.918926796986
L1,W1,11,1,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,819.0474815496073
L1,W1,25,18,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,1096.287994032688
L1,W1,23,20,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,5826.210324526363
L1,W1,24,23,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3773.885859899069
L1,W1,24,28,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,5638.548891354993
L1,W1,17,14,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,3113.1920997613665
L1,W1,3,24,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,4225.285751297199
L1,W1,27,21,EDGE,85,2.3,10.0,2.3,1.3,2733.178200585765,659.069373126631
L1,W1,18,8,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,4111.754672281582
L1,W1,27,25,MIDDLE,85,2.3,10.0,2.3,1.3,2733.178200585765,2450.021925767277
L1,W1,28,1,CENTER,85,2.3,10.0,2.3,1.3,2733.178200585765,4323.33463082627
L1,W1,21,10,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1006.063442304889
L1,W1,2,2,CENTER,85,2.5,10.0,2.5,1.3,1500.0,2041.1676218412256
L1,W1,13,21,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1998.4156300315244
L1,W1,19,5,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,468.83148278584423
L1,W1,2,10,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1411.1043037799832
L1,W1,29,0,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,437.1444031831292
L1,W1,11,18,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2136.2251961201746
L1,W1,0,13,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,332.88121338623523
L1,W1,19,26,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1282.4603366784029
L1,W1,16,10,EDGE,85,2.5,10.0,2.5,1.3,1500.0,2313.434538619266
L1,W1,19,6,CENTER,85,2.5,10.0,2.5,1.3,1500.0,1089.7572862120294
L1,W1,22,4,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1705.9400054297132
L1,W1,14,6,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1397.207281291342
L1,W1,24,13,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2260.6408808455376
L1,W1,11,2,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2907.116342350894
L1,W1,16,12,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1723.0314333494239
L1,W1,4,25,EDGE,85,2.5,10.0,2.5,1.3,1500.0,2634.7086626166288
L1,W1,18,23,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,913.8844849166537
L1,W1,7,19,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1303.737501504124
L1,W1,20,26,CENTER,85,2.5,10.0,2.5,1.3,1500.0,1105.6124344008326
L1,W1,24,23,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2684.5608860824923
L1,W1,25,19,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2053.7294727502526
L1,W1,27,25,CENTER,85,2.5,10.0,2.5,1.3,1500.0,839.3440875100496
L1,W1,3,3,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,958.2653042548465
L1,W1,4,24,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,2959.833904728767
L1,W1,27,8,EDGE,85,2.5,10.0,2.5,1.3,1500.0,699.9061677301489
L1,W1,11,21,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,1006.5239414501509
L1,W1,0,27,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,943.0578296054972
L1,W1,8,14,MIDDLE,85,2.5,10.0,2.5,1.3,1500.0,176.88348335874878
L1,W1,25,2,CENTER,85,2.5,10.0,2.5,1.3,1500.0,1402.3826985761903
L1,W1,16,14,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,442.7069702519837
L1,W1,3,14,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,221.43675436378152
L1,W1,22,9,CENTER,85,2.7,10.0,2.7,1.3,823.2174541410393,1343.5935404209151
L1,W1,6,17,MIDDLE,85,2.7,10.0,2.7,1.3,823.2174541410393,749.7410691303812
